date,open,high,low,close,adj close,volume,Name
30-09-2021,331.25,337.899994,329.100006,333.350006,333.350006,30268517,TATAMOTORS
01-10-2021,332.649994,337.299988,325.700012,333.299988,333.299988,29877695,TATAMOTORS
04-10-2021,336.799988,343.25,335.149994,342,342,29553072,TATAMOTORS
05-10-2021,340.450012,351.5,338.850006,344.950012,344.950012,31861985,TATAMOTORS
06-10-2021,347,348.700012,335,336.049988,336.049988,25272592,TATAMOTORS
07-10-2021,341.100006,383,339.25,376.5,376.5,163238084,TATAMOTORS
08-10-2021,385.899994,397.549988,380,382.950012,382.950012,93728117,TATAMOTORS
11-10-2021,390.149994,420.899994,388,415.75,415.75,113404983,TATAMOTORS
12-10-2021,423,435.700012,413.600006,420.850006,420.850006,97349265,TATAMOTORS
13-10-2021,462.899994,523.849976,462.899994,506.899994,506.899994,197949387,TATAMOTORS
14-10-2021,530,530,492,497.600006,497.600006,103630901,TATAMOTORS
18-10-2021,507,525,503.600006,509.600006,509.600006,72322623,TATAMOTORS
19-10-2021,512.450012,517.400024,476.049988,481.899994,481.899994,57428637,TATAMOTORS
20-10-2021,481.799988,497,471.25,486.899994,486.899994,55444814,TATAMOTORS
21-10-2021,491.75,510.399994,485.75,508,508,52608672,TATAMOTORS
22-10-2021,509.899994,510.700012,487.399994,490.899994,490.899994,42742785,TATAMOTORS
25-10-2021,493.899994,496,473.25,479.899994,479.899994,33107841,TATAMOTORS
26-10-2021,483.5,510,483.25,508.649994,508.649994,58027770,TATAMOTORS
27-10-2021,505.75,506.549988,496,497.899994,497.899994,30361263,TATAMOTORS
28-10-2021,493.899994,493.899994,478.549988,481.049988,481.049988,25182748,TATAMOTORS
29-10-2021,482,491.600006,467.700012,483.700012,483.700012,31054342,TATAMOTORS
01-11-2021,486.450012,489.700012,469.799988,485.700012,485.700012,34315690,TATAMOTORS
02-11-2021,506.5,510,486.5,487.850006,487.850006,51580720,TATAMOTORS
03-11-2021,483.799988,495,481.600006,484.899994,484.899994,22950198,TATAMOTORS
04-11-2021,489.799988,493.549988,488,489.700012,489.700012,5531940,TATAMOTORS
08-11-2021,493.899994,504.850006,490.25,501.399994,501.399994,31736426,TATAMOTORS
09-11-2021,505,520.650024,503.5,509.649994,509.649994,50458762,TATAMOTORS
10-11-2021,506.25,515.950012,500.200012,510.75,510.75,26615777,TATAMOTORS
11-11-2021,510,519,501,503.450012,503.450012,29256213,TATAMOTORS
12-11-2021,506.950012,509.549988,497.350006,507.049988,507.049988,20731808,TATAMOTORS
15-11-2021,506.25,514.900024,504.5,505.450012,505.450012,18014977,TATAMOTORS
16-11-2021,506.899994,526.849976,506.200012,519.049988,519.049988,55897781,TATAMOTORS
17-11-2021,520.25,536.700012,520.25,530.150024,530.150024,48463415,TATAMOTORS
18-11-2021,531.450012,534.200012,501.299988,509.700012,509.700012,47197742,TATAMOTORS
22-11-2021,512.25,512.25,478.399994,486.100006,486.100006,40044849,TATAMOTORS
23-11-2021,484.399994,499.350006,477,495.5,495.5,27553684,TATAMOTORS
24-11-2021,499,501.799988,485.299988,488.649994,488.649994,20915837,TATAMOTORS
25-11-2021,490.799988,495.149994,486.5,492.75,492.75,15336539,TATAMOTORS
26-11-2021,486,486.75,458,460.200012,460.200012,51787989,TATAMOTORS
29-11-2021,457,470.75,443.100006,461.450012,461.450012,42819150,TATAMOTORS
30-11-2021,466.549988,478,455.649994,458.600006,458.600006,35471800,TATAMOTORS
01-12-2021,467.850006,478.399994,463.549988,475.25,475.25,28256188,TATAMOTORS
02-12-2021,479.399994,480.450012,471.700012,479.100006,479.100006,21012008,TATAMOTORS
03-12-2021,480,484.700012,477.299988,480.100006,480.100006,20948900,TATAMOTORS
06-12-2021,480.100006,480.899994,466,467.200012,467.200012,17473075,TATAMOTORS
07-12-2021,476.850006,484.899994,471,481.799988,481.799988,21280797,TATAMOTORS
08-12-2021,484.5,495.950012,483.5,493.899994,493.899994,20581817,TATAMOTORS
09-12-2021,498,498.5,489.549988,493.950012,493.950012,16951593,TATAMOTORS
10-12-2021,487.75,496.799988,486.549988,494.450012,494.450012,14567815,TATAMOTORS
13-12-2021,499.450012,506.399994,494.200012,495.350006,495.350006,21921272,TATAMOTORS
14-12-2021,491.950012,491.950012,483.299988,489.399994,489.399994,17722547,TATAMOTORS
15-12-2021,487.799988,497.700012,487.25,491.649994,491.649994,16263723,TATAMOTORS
16-12-2021,495,496.5,487.399994,491.950012,491.950012,13581352,TATAMOTORS
17-12-2021,488,488.850006,468.200012,470.200012,470.200012,27341178,TATAMOTORS
20-12-2021,459.899994,460,440,447.049988,447.049988,33007516,TATAMOTORS
21-12-2021,452.100006,460.899994,449.850006,453.600006,453.600006,18838054,TATAMOTORS
22-12-2021,458.149994,472.149994,458.149994,470.5,470.5,22730750,TATAMOTORS
23-12-2021,476,478,470.950012,472.350006,472.350006,12116814,TATAMOTORS
24-12-2021,474.899994,474.899994,460,467.600006,467.600006,15487368,TATAMOTORS
27-12-2021,465.700012,472.450012,460.100006,471.149994,471.149994,12557565,TATAMOTORS
28-12-2021,475.200012,482.799988,472.649994,480.200012,480.200012,22860916,TATAMOTORS
29-12-2021,478.75,481.600006,474.25,476,476,10263884,TATAMOTORS
30-12-2021,472.549988,476.399994,468.600006,470.399994,470.399994,11923961,TATAMOTORS
31-12-2021,472.700012,483.600006,471.850006,482.399994,482.399994,15541446,TATAMOTORS
03-01-2022,493.5,500.850006,492,497.600006,497.600006,32748423,TATAMOTORS
04-01-2022,496.799988,499,484.049988,489.600006,489.600006,24100985,TATAMOTORS
05-01-2022,486.950012,492.75,483.549988,489.75,489.75,15420105,TATAMOTORS
06-01-2022,481.5,492.950012,477.100006,488.850006,488.850006,16563230,TATAMOTORS
07-01-2022,490.049988,495.5,483.75,490.600006,490.600006,15532165,TATAMOTORS
10-01-2022,493.100006,504.899994,491.299988,503.700012,503.700012,25193771,TATAMOTORS
11-01-2022,503,507.899994,498.149994,501.299988,501.299988,16269193,TATAMOTORS
12-01-2022,505.850006,511.850006,503.5,507.25,507.25,16255334,TATAMOTORS
13-01-2022,504,513.799988,494.799988,511.950012,511.950012,27572553,TATAMOTORS
14-01-2022,509,515.400024,505.649994,509.899994,509.899994,12655602,TATAMOTORS
17-01-2022,514.799988,526.900024,512,525,525,27942414,TATAMOTORS
18-01-2022,527.900024,528.5,507.149994,510.799988,510.799988,19353195,TATAMOTORS
19-01-2022,510,522.200012,504.799988,520.849976,520.849976,21799071,TATAMOTORS
20-01-2022,519.950012,523.200012,512,515.700012,515.700012,18364451,TATAMOTORS
21-01-2022,510.399994,513.849976,494.25,501.850006,501.850006,17946821,TATAMOTORS
24-01-2022,499.700012,504.299988,473.350006,478.450012,478.450012,25228959,TATAMOTORS
25-01-2022,473.799988,492.5,467.649994,490.549988,490.549988,22565698,TATAMOTORS
27-01-2022,480.75,502.700012,476.600006,494.399994,494.399994,26676094,TATAMOTORS
28-01-2022,500.5,509.350006,495.299988,497.299988,497.299988,21784640,TATAMOTORS
31-01-2022,505,520,498.200012,517.75,517.75,27306578,TATAMOTORS
01-02-2022,508,514.75,493,504.299988,504.299988,48030231,TATAMOTORS
02-02-2022,508.600006,514.450012,505.149994,506.399994,506.399994,14311040,TATAMOTORS
03-02-2022,509.100006,514.299988,502.850006,504.5,504.5,15249245,TATAMOTORS
04-02-2022,503.799988,507.799988,499,500.600006,500.600006,12663199,TATAMOTORS
07-02-2022,502.899994,504.350006,492.5,494.600006,494.600006,13392910,TATAMOTORS
08-02-2022,498,498.5,479.149994,492.75,492.75,23378623,TATAMOTORS
09-02-2022,496.5,503.700012,494.700012,501.25,501.25,12430730,TATAMOTORS
10-02-2022,506.700012,510.5,504.200012,507.450012,507.450012,14537945,TATAMOTORS
11-02-2022,503.25,507,497,498.850006,498.850006,13534899,TATAMOTORS
14-02-2022,487,488.5,468.799988,471.450012,471.450012,22157389,TATAMOTORS
15-02-2022,476.149994,505.5,467.299988,504,504,30623088,TATAMOTORS
16-02-2022,504,507.899994,496.600006,498.450012,498.450012,20176993,TATAMOTORS
17-02-2022,505.899994,511.5,498.299988,499.950012,499.950012,27943077,TATAMOTORS
18-02-2022,498,502.649994,491.5,493.149994,493.149994,15476803,TATAMOTORS
21-02-2022,490.149994,500.399994,486.100006,494.450012,494.450012,22592161,TATAMOTORS
22-02-2022,480.549988,486.299988,471.450012,478.25,478.25,27957544,TATAMOTORS
23-02-2022,481.75,485.399994,475.299988,477,477,17703998,TATAMOTORS
24-02-2022,455.950012,461.549988,405.450012,427.950012,427.950012,57265685,TATAMOTORS
25-02-2022,444.850006,465.700012,441.600006,459.75,459.75,48876182,TATAMOTORS
28-02-2022,445,457.350006,440.450012,454.049988,454.049988,34475468,TATAMOTORS
02-03-2022,452.950012,454.25,444.549988,447.600006,447.600006,25791134,TATAMOTORS
03-03-2022,458.5,458.5,435,437.100006,437.100006,29599672,TATAMOTORS
04-03-2022,431.850006,431.850006,414.75,417.25,417.25,38765185,TATAMOTORS
07-03-2022,401.75,401.75,387.5,394,394,44836205,TATAMOTORS
08-03-2022,390.5,395.450012,376.350006,391.75,391.75,55543383,TATAMOTORS
09-03-2022,394.950012,409.25,389.5,405.899994,405.899994,48376222,TATAMOTORS
10-03-2022,427,434.950012,414,419.600006,419.600006,59776817,TATAMOTORS
11-03-2022,413.600006,421.149994,407.399994,418.149994,418.149994,51510243,TATAMOTORS
14-03-2022,418.75,419,404,411.700012,411.700012,40721277,TATAMOTORS
15-03-2022,409.850006,424.200012,408,413.649994,413.649994,47706136,TATAMOTORS
16-03-2022,427.049988,428.549988,420.700012,424.899994,424.899994,27191170,TATAMOTORS
17-03-2022,432,435.700012,429.549988,433.799988,433.799988,26704541,TATAMOTORS
21-03-2022,435.5,436.299988,427.100006,427.950012,427.950012,18270995,TATAMOTORS
22-03-2022,428.100006,441.450012,421.200012,440.350006,440.350006,30441493,TATAMOTORS
23-03-2022,443.5,447,434.600006,435.799988,435.799988,25466395,TATAMOTORS
24-03-2022,430,435.399994,427.549988,433.200012,433.200012,17109723,TATAMOTORS
25-03-2022,437,437,427.649994,432.100006,432.100006,15104414,TATAMOTORS
28-03-2022,432,434.950012,426.5,432.700012,432.700012,16757901,TATAMOTORS
29-03-2022,436,439.350006,431.399994,433.700012,433.700012,18710736,TATAMOTORS
30-03-2022,438.450012,442.5,434.25,435.649994,435.649994,18149488,TATAMOTORS
31-03-2022,436,438.299988,432.600006,433.75,433.75,14248045,TATAMOTORS
01-04-2022,434,442.25,430.850006,441.149994,441.149994,19380324,TATAMOTORS
04-04-2022,444.399994,449.5,441.299988,446.75,446.75,18657201,TATAMOTORS
05-04-2022,450,461.899994,448.299988,458.049988,458.049988,28530470,TATAMOTORS
06-04-2022,455.899994,462.700012,452.600006,456.149994,456.149994,24974477,TATAMOTORS
07-04-2022,456.5,459.100006,448.5,449.5,449.5,19950241,TATAMOTORS
08-04-2022,450,456.25,449.700012,452.049988,452.049988,16315704,TATAMOTORS
11-04-2022,457,458.899994,451,452.049988,452.049988,14339854,TATAMOTORS
12-04-2022,450.799988,450.799988,435,438.299988,438.299988,22698696,TATAMOTORS
13-04-2022,441.799988,442.850006,430.100006,431.049988,431.049988,16817981,TATAMOTORS
18-04-2022,430,436.350006,423.649994,433.799988,433.799988,15298361,TATAMOTORS
19-04-2022,436.75,440.25,417,424.950012,424.950012,12669041,TATAMOTORS
20-04-2022,431,441.700012,428.25,440.549988,440.549988,19639290,TATAMOTORS
21-04-2022,444.5,449.350006,441.049988,448.049988,448.049988,14124872,TATAMOTORS
22-04-2022,442.049988,447.25,438,438.850006,438.850006,14362036,TATAMOTORS
25-04-2022,432.75,436,423.149994,425.149994,425.149994,14729009,TATAMOTORS
26-04-2022,433.899994,437.450012,431.600006,434.899994,434.899994,13577513,TATAMOTORS
27-04-2022,429.25,432.950012,425.100006,430.25,430.25,13701069,TATAMOTORS
28-04-2022,434.799988,439.200012,430.799988,436.049988,436.049988,13875650,TATAMOTORS
29-04-2022,440.200012,447.75,436,437.600006,437.600006,21991752,TATAMOTORS
02-05-2022,437.950012,442.950012,428.5,432.850006,432.850006,18945234,TATAMOTORS
04-05-2022,437.950012,440.600006,420.700012,423.5,423.5,14934742,TATAMOTORS
05-05-2022,429,434,423.700012,426.299988,426.299988,12240729,TATAMOTORS
06-05-2022,418.850006,420.200012,407,408.549988,408.549988,25142225,TATAMOTORS
09-05-2022,407.149994,407.399994,395,403.950012,403.950012,18076956,TATAMOTORS
