date,open,high,low,close,adj close,volume,Name
18-05-2017,425.424988,436.125,422.125,424.200012,381.467682,7317362,HCLTECH
19-05-2017,426.5,427.25,422.049988,422.350006,379.804108,2896062,HCLTECH
22-05-2017,425,431.125,424,428.725006,385.536865,5784538,HCLTECH
23-05-2017,431.5,435.399994,429.575012,432.450012,388.886658,6427042,HCLTECH
24-05-2017,427.450012,428.975006,420,427.424988,387.052856,4033036,HCLTECH
25-05-2017,430.125,433.75,426.299988,429.799988,389.203552,5896078,HCLTECH
26-05-2017,428.850006,433,427.725006,429.549988,388.977142,2604830,HCLTECH
29-05-2017,429.450012,436,425.725006,432.225006,391.399506,3686630,HCLTECH
30-05-2017,432.225006,435.975006,426.475006,434.075012,393.074799,2826830,HCLTECH
31-05-2017,432.049988,434.649994,429.125,432.125,391.30896,5747114,HCLTECH
01-06-2017,431.5,435.5,429.575012,431.125,390.403412,1843166,HCLTECH
02-06-2017,431.399994,434.850006,426.850006,428.950012,388.433868,2223574,HCLTECH
05-06-2017,428,433.450012,428,429.350006,388.796112,2816618,HCLTECH
06-06-2017,437.75,454.799988,433.049988,444.725006,402.718872,13253770,HCLTECH
07-06-2017,446.674988,447.450012,432.274994,440.25,398.666534,6733948,HCLTECH
08-06-2017,440,440.200012,432.5,434.174988,393.165283,2830620,HCLTECH
09-06-2017,433.274994,436.450012,428.299988,430.375,389.724274,2701028,HCLTECH
12-06-2017,431.399994,434.325012,426.024994,432.774994,391.897552,2065426,HCLTECH
13-06-2017,431,432.450012,421.149994,423.575012,383.566559,2487790,HCLTECH
14-06-2017,424.75,428.024994,420.5,426.825012,386.509583,1801536,HCLTECH
15-06-2017,426.5,426.5,420.75,422.200012,382.32135,3547290,HCLTECH
16-06-2017,421,423.5,417.5,419.5,379.876465,3824660,HCLTECH
19-06-2017,419.75,422.950012,415.149994,421.25,381.461212,1690856,HCLTECH
20-06-2017,422.5,427.524994,421.5,427.125,386.781189,2082258,HCLTECH
21-06-2017,427,427,419.049988,421.725006,381.891296,1819308,HCLTECH
22-06-2017,424.5,427,418.100006,424.575012,384.472076,2895584,HCLTECH
23-06-2017,425,429,421.174988,425.924988,385.69458,2161888,HCLTECH
27-06-2017,426,429.5,416.600006,420.100006,380.419739,2184790,HCLTECH
28-06-2017,419.25,428.625,416.649994,424.200012,384.132538,2476764,HCLTECH
29-06-2017,425.950012,428.5,421.25,423.799988,383.770233,2984220,HCLTECH
30-06-2017,424.225006,427.975006,419.200012,425.450012,385.264435,2257114,HCLTECH
03-07-2017,426,426.975006,416.149994,419.075012,379.491608,3953676,HCLTECH
04-07-2017,424.200012,424.975006,419,420.774994,381.031097,1981500,HCLTECH
05-07-2017,419.5,420.600006,417.549988,418.75,379.197296,2420508,HCLTECH
06-07-2017,420,421.200012,417.850006,420.325012,380.623474,1373060,HCLTECH
07-07-2017,420.25,420.25,414.399994,415.950012,376.661743,2303234,HCLTECH
10-07-2017,419.200012,426.899994,419,424.825012,384.698517,390438,HCLTECH
11-07-2017,422.825012,434.5,422.825012,425.325012,385.151215,2993400,HCLTECH
12-07-2017,425.049988,429.25,423.024994,427,386.66803,1205956,HCLTECH
13-07-2017,428.049988,431.950012,427.75,429.299988,388.750824,1912818,HCLTECH
14-07-2017,430,430.200012,422.524994,425.174988,385.015472,1288116,HCLTECH
17-07-2017,424.5,435,421.950012,434.049988,393.052155,1818014,HCLTECH
18-07-2017,434.549988,442.149994,434.174988,440.350006,398.75708,1977378,HCLTECH
19-07-2017,442.5,449.799988,442.5,447.700012,405.412842,2912888,HCLTECH
20-07-2017,449.5,449.5,441.200012,442.825012,400.998291,1613768,HCLTECH
