date,open,high,low,close,adj close,volume,Name
30-09-2021,1388,1402.650024,1377,1380.599976,1347.382324,3856630,TECHM
01-10-2021,1375,1384,1364.800049,1371.25,1338.257324,2661824,TECHM
04-10-2021,1384.699951,1405.550049,1372.050049,1399.050049,1365.38855,2538936,TECHM
05-10-2021,1399.099976,1421,1381,1413.050049,1379.051636,2481825,TECHM
06-10-2021,1422.900024,1426.900024,1379.949951,1385.650024,1352.310791,2769341,TECHM
07-10-2021,1397.949951,1423.300049,1375.650024,1417.199951,1383.101685,1956325,TECHM
08-10-2021,1418.5,1447,1418.5,1439.949951,1405.304199,2665924,TECHM
11-10-2021,1420,1434.449951,1385.599976,1400.199951,1366.51062,3073366,TECHM
12-10-2021,1399,1402.849976,1361,1374.449951,1341.380249,2965629,TECHM
13-10-2021,1386.900024,1410,1377,1402.150024,1368.413818,1738985,TECHM
14-10-2021,1432,1459.599976,1410.5,1430.800049,1396.374634,4328124,TECHM
18-10-2021,1420,1486.949951,1420,1479.650024,1444.049194,3579606,TECHM
19-10-2021,1498,1569.800049,1477.050049,1539.099976,1502.068726,8645334,TECHM
20-10-2021,1544,1576.5,1515.800049,1539.300049,1502.264038,5159270,TECHM
21-10-2021,1546.150024,1546.150024,1476.050049,1524.25,1487.576172,4261416,TECHM
22-10-2021,1531,1561.949951,1483.75,1517.449951,1480.939697,5223521,TECHM
25-10-2021,1531,1535,1483.800049,1524.099976,1487.429688,3890467,TECHM
26-10-2021,1571.900024,1630,1543,1563.300049,1525.686646,16978043,TECHM
27-10-2021,1561.849976,1587.099976,1527.5,1567.849976,1530.126953,3624131,TECHM
28-10-2021,1578,1582.849976,1526,1533.300049,1496.408447,3054565,TECHM
29-10-2021,1527.349976,1542.75,1467.800049,1477.849976,1442.29248,3795495,TECHM
01-11-2021,1490,1529.900024,1487.050049,1522.150024,1485.526611,2271900,TECHM
02-11-2021,1522.25,1522.949951,1488.050049,1490.599976,1469.213989,2041689,TECHM
03-11-2021,1498,1537.699951,1493.599976,1498.550049,1477.050049,2697346,TECHM
04-11-2021,1509,1515,1501,1505.849976,1484.245239,166444,TECHM
08-11-2021,1508,1562.800049,1504.300049,1556.199951,1533.872803,3050392,TECHM
09-11-2021,1561,1572,1553,1559.199951,1536.829834,2061369,TECHM
10-11-2021,1555.949951,1573.349976,1546.550049,1566.599976,1544.123657,1299996,TECHM
11-11-2021,1560,1560,1515,1521.949951,1500.114258,3027565,TECHM
12-11-2021,1538.5,1589.449951,1531.300049,1585,1562.259644,3713868,TECHM
15-11-2021,1585,1601.5,1573.349976,1579.150024,1556.493652,2448280,TECHM
16-11-2021,1585.099976,1605,1576,1599.900024,1576.945923,2864344,TECHM
17-11-2021,1598.5,1625,1595,1618.449951,1595.229736,2304359,TECHM
18-11-2021,1620.199951,1624.75,1559.5,1567.75,1545.257202,2938804,TECHM
22-11-2021,1581.800049,1581.800049,1520,1541.300049,1519.186768,1951782,TECHM
23-11-2021,1522,1564.449951,1506.300049,1560.550049,1538.160522,1823592,TECHM
24-11-2021,1568.800049,1569.900024,1530,1538.099976,1516.032593,1644163,TECHM
25-11-2021,1531,1564.800049,1530.050049,1559.349976,1536.977661,1557493,TECHM
26-11-2021,1544,1550,1510.150024,1527.400024,1505.486084,1522173,TECHM
